hipotese,rq,metrica,kata,x_com_ia,x_sem_ia,diferenca,n_trials_com_ia,n_trials_sem_ia
H1,RQ1,duracao_segundos,kata-01,100,882,-782,2,1
H1,RQ1,duracao_segundos,kata-02,16,989.5,-973.5,1,2
H1,RQ1,duracao_segundos,kata-03,186.5,1385,-1198.5,2,1
H1,RQ1,duracao_segundos,kata-04,70,682.5,-612.5,1,2
H1,RQ1,duracao_segundos,kata-05,113.5,497,-383.5,2,1
H1,RQ1,duracao_segundos,kata-06,171,1006,-835,1,2
H2,RQ2,taxa_sucesso,kata-01,1,1,0,2,1
H2,RQ2,taxa_sucesso,kata-02,1,1,0,1,2
H2,RQ2,taxa_sucesso,kata-03,1,1,0,2,1
H2,RQ2,taxa_sucesso,kata-04,1,1,0,1,2
H2,RQ2,taxa_sucesso,kata-05,1,1,0,2,1
H2,RQ2,taxa_sucesso,kata-06,1,1,0,1,2
H3a,RQ3a,complexidade_ciclomatica_media,kata-01,4.035,3,1.0350000000000001,2,1
H3a,RQ3a,complexidade_ciclomatica_media,kata-02,4.25,7.5,-3.25,1,2
H3a,RQ3a,complexidade_ciclomatica_media,kata-03,8.165,3.75,4.414999999999999,2,1
H3a,RQ3a,complexidade_ciclomatica_media,kata-04,8.5,2.465,6.035,1,2
H3a,RQ3a,complexidade_ciclomatica_media,kata-05,7.5,4.75,2.75,2,1
H3a,RQ3a,complexidade_ciclomatica_media,kata-06,5,3.875,1.125,1,2
H3b,RQ3b,duplicacao_percentual,kata-01,0,0,0,2,1
H3b,RQ3b,duplicacao_percentual,kata-02,0,0,0,1,2
H3b,RQ3b,duplicacao_percentual,kata-03,0,0,0,2,1
H3b,RQ3b,duplicacao_percentual,kata-04,0,0,0,1,2
H3b,RQ3b,duplicacao_percentual,kata-05,0,0,0,2,1
H3b,RQ3b,duplicacao_percentual,kata-06,0,0,0,1,2
