trial_id,medido_em,participante,kata,tratamento,arquivos_analisados,loc,linhas_comentario,num_funcoes,complexidade_ciclomatica_media,complexidade_ciclomatica_max,complexidade_total,duplicacao_percentual,linhas_duplicadas,clones_detectados,volume_halstead,indice_manutenibilidade,ferramenta_versao
caue_kata-01_sem-ia,2026-09-23T11:30:30.350Z,caue,kata-01,sem-ia,1,32,0,5,3,8,15,0,0,0,1488.62,42.93,metricas.js v1 / node v23.1.0
caue_kata-02_sem-ia,2026-09-23T11:30:30.350Z,caue,kata-02,sem-ia,1,34,0,2,7.5,13,15,0,0,0,1060.74,43.39,metricas.js v1 / node v23.1.0
caue_kata-03_com-ia,2026-09-23T11:30:30.350Z,caue,kata-03,com-ia,1,35,7,1,12,12,12,0,0,0,1885.62,41.77,metricas.js v1 / node v23.1.0
caue_kata-04_com-ia,2026-09-23T11:30:30.350Z,caue,kata-04,com-ia,1,62,7,2,8.5,16,17,0,0,0,2320.15,35.05,metricas.js v1 / node v23.1.0
caue_kata-05_com-ia,2026-09-23T11:30:30.350Z,caue,kata-05,com-ia,1,45,4,2,10,16,20,0,0,0,2369.6,37.62,metricas.js v1 / node v23.1.0
caue_kata-06_sem-ia,2026-09-23T11:30:30.350Z,caue,kata-06,sem-ia,1,79,1,3,5,13,15,0,0,0,3460.82,31.81,metricas.js v1 / node v23.1.0
enzo_kata-01_com-ia,2026-09-23T11:30:30.350Z,enzo,kata-01,com-ia,1,48,2,7,2.57,5,18,0,0,0,2111.57,37.63,metricas.js v1 / node v23.1.0
enzo_kata-02_com-ia,2026-09-23T11:30:30.350Z,enzo,kata-02,com-ia,1,34,2,4,4.25,10,17,0,0,0,1529.68,42.01,metricas.js v1 / node v23.1.0
enzo_kata-03_com-ia,2026-09-23T11:30:30.350Z,enzo,kata-03,com-ia,1,35,2,3,4.33,5,13,0,0,0,1749.42,41.86,metricas.js v1 / node v23.1.0
enzo_kata-04_sem-ia,2026-09-23T11:30:30.350Z,enzo,kata-04,sem-ia,1,36,2,6,2.5,9,15,0,0,0,1820.4,41.21,metricas.js v1 / node v23.1.0
enzo_kata-05_sem-ia,2026-09-23T11:30:30.350Z,enzo,kata-05,sem-ia,1,36,2,4,4.75,6,19,0,0,0,2115.51,40.21,metricas.js v1 / node v23.1.0
enzo_kata-06_sem-ia,2026-09-23T11:30:30.350Z,enzo,kata-06,sem-ia,1,78,2,8,2.75,10,22,0,0,0,4184.77,30.41,metricas.js v1 / node v23.1.0
